date,KORinterest,USAinterest,Yen,output,import,Y
1999-05-01,4.750000 ,5.066250 ,974.570000 ,108.400000 ,55.770000 ,1186.30 
1999-06-01,4.750000 ,5.367500 ,954.970000 ,106.280000 ,54.990000 ,1155.90 
1999-07-01,4.750000 ,5.342500 ,1053.880000 ,105.710000 ,55.510000 ,1206.90 
1999-08-01,4.750000 ,5.520000 ,1070.850000 ,110.020000 ,58.640000 ,1184.90 
1999-09-01,4.750000 ,6.083750 ,1137.170000 ,110.590000 ,59.900000 ,1218.70 
1999-10-01,4.750000 ,6.185000 ,1152.890000 ,114.310000 ,61.900000 ,1200.50 
1999-11-01,4.750000 ,6.115000 ,1126.140000 ,112.600000 ,61.470000 ,1157.50 
1999-12-01,4.750000 ,6.001250 ,1121.840000 ,108.400000 ,60.280000 ,1145.40 
2000-01-01,4.750000 ,6.077500 ,1049.670000 ,111.800000 ,60.750000 ,1122.10 
2000-02-01,5.000000 ,6.108750 ,1034.360000 ,109.030000 ,61.010000 ,1131.80 
2000-03-01,5.000000 ,6.290000 ,1046.950000 ,107.050000 ,60.970000 ,1108.30 
2000-04-01,5.000000 ,6.502500 ,1026.340000 ,105.920000 ,59.370000 ,1110.30 
2000-05-01,5.000000 ,6.862500 ,1063.300000 ,106.800000 ,60.640000 ,1133.80 
2000-06-01,5.000000 ,6.769380 ,1060.000000 ,108.280000 ,61.610000 ,1114.80 
2000-07-01,5.000000 ,6.721880 ,1018.380000 ,109.550000 ,60.930000 ,1116.20 
2000-08-01,5.000000 ,6.680000 ,1039.270000 ,110.570000 ,60.980000 ,1108.80 
2000-09-01,5.000000 ,6.811250 ,1030.880000 ,110.070000 ,62.470000 ,1115.00 
2000-10-01,5.250000 ,6.760000 ,1042.650000 ,107.430000 ,62.830000 ,1136.70 
2000-11-01,5.250000 ,6.715000 ,1073.460000 ,105.120000 ,63.640000 ,1195.30 
2000-12-01,5.250000 ,6.398750 ,1101.520000 ,108.200000 ,63.490000 ,1259.70 
